p, q, AIC
0, 0, 2377989.4061666224
0, 1, 1033.155710803023
0, 2, 1034.8170174411305
0, 3, 1035.1369293299222
0, 4, 1040.20563805585
0, 5, 1041.677558678415
1, 0, 1045.1539559361984
1, 1, 1033.3130340468138
1, 2, 1038.8946699949042
1, 3, 1036.5498531091857
1, 4, 1041.7359271590235
1, 5, 1043.570441080383
2, 0, 1040.946191594841
2, 1, 1033.1115251615304
2, 2, 1042.4066242509675
2, 3, 1030.7263139552551
2, 4, 1035.6362388758891
2, 5, 1044.851006528741
3, 0, 1047.8810873924956
3, 1, 1032.8323376861786
3, 2, 1030.671258203823
3, 3, 1035.94590121844
3, 4, 5.497848815026766e+26
3, 5, 1046.6206192976822
4, 0, 1052.858391296409
4, 1, 1036.178538099978
4, 2, 1032.0824381817706
4, 3, 1352.5215500927827
4, 4, 6.164673494553689e+18
4, 5, 1049.0754897720649
5, 0, 1049.5968463697593
5, 1, 1035.497953603564
5, 2, 1036.8064688364084
5, 3, 1754.8122826555032
5, 5, 1051.203306572997
